Date,Price,Open,High,Low,Vol.,Chg. %,
"5/19/21","36,755.0","42,935.0","42,935.0","35,303.4","67.82K","-14.39%",
"5/18/21","42,935.0","43,544.0","45,474.0","42,611.8","10.72K","-1.40%",
"5/17/21","43,544.0","46,569.0","46,569.0","42,304.0","37.72K","-6.52%",
"5/16/21","46,582.9","46,784.9","49,460.0","45,340.0","19.06K","-0.43%",
"5/15/21","46,784.9","49,917.0","50,526.2","46,784.9","9.49K","-6.27%",
"5/14/21","49,917.0","49,747.0","51,168.0","49,289.0","6.05K","0.34%",
"5/13/21","49,747.0","49,725.0","51,154.0","48,120.6","21.16K","0.04%",
"5/12/21","49,725.0","56,715.0","57,688.0","49,725.0","14.96K","-12.32%",
"5/11/21","56,715.0","55,851.0","56,724.0","54,789.0","7.69K","1.55%",
"5/10/21","55,851.0","58,276.0","59,454.3","55,448.0","13.49K","-4.16%",
"5/9/21","58,276.0","58,894.0","58,956.5","56,977.0","8.48K","-1.05%",
"5/8/21","58,894.0","57,349.0","59,327.0","57,317.0","7.61K","2.69%",
"5/7/21","57,349.0","56,451.0","58,101.0","55,606.0","6.93K","1.59%",
"5/6/21","56,451.0","57,487.0","57,843.0","55,897.0","10.44K","-1.79%",
"5/5/21","57,477.0","52,960.0","57,477.0","52,960.0","7.66K","7.91%",
"5/4/21","53,264.0","57,147.0","57,147.0","53,264.0","10.03K","-6.79%",
"5/3/21","57,147.0","56,605.0","58,686.0","56,605.0","7.63K","0.96%",
"5/2/21","56,605.0","57,774.0","57,774.0","56,385.0","4.20K","-2.02%",
"5/1/21","57,774.0","57,634.7","58,265.0","57,259.0","4.32K","0.24%",
"4/30/21","57,637.0","53,566.0","57,637.0","53,339.0","7.86K","7.60%",
"4/29/21","53,566.0","54,860.0","54,860.0","52,631.0","7.08K","-2.36%",
"4/28/21","54,860.0","55,044.0","55,575.0","54,090.0","5.76K","-0.33%",
"4/27/21","55,044.0","54,103.0","55,215.0","53,660.0","7.24K","1.74%",
"4/26/21","54,103.0","49,129.0","54,214.0","49,129.0","11.01K","10.15%",
"4/25/21","49,116.3","50,167.0","50,539.0","48,409.8","9.60K","-2.09%",
"4/24/21","50,167.0","51,139.0","51,139.0","49,572.0","5.98K","-1.90%",
"4/23/21","51,139.0","51,781.3","51,781.3","48,719.6","17.25K","-1.24%",
